zip,demo,2015,2014,2013,2012,2011,2010,2009,total
53224,Hispanic Female,0,0,0,0,0,0,0,0
53224,Asian Male,0,0,0,0,0,0,0,0
53224,Asian Female,0,0,0,0,0,0,0,0
53233,Black Male,0,0,0,0,0,1,0,1
53233,Black Female,0,0,0,0,0,0,0,0
53233,White Male,0,0,0,0,0,0,0,0
53233,White Female,0,0,0,0,0,0,0,0
53233,Hispanic Male,0,0,0,0,0,0,0,0
53233,Hispanic Female,0,0,0,0,0,0,0,0
53233,Asian Male,0,0,0,0,0,0,0,0
53233,Asian Female,0,0,0,0,0,0,0,0
53406,Black Male,0,0,0,0,1,0,0,1
53406,Black Female,0,0,0,0,0,0,0,0
53406,White Male,0,0,0,0,0,0,0,0
53406,White Female,0,0,0,0,0,0,0,0
53406,Hispanic Male,0,0,0,0,0,0,0,0
53406,Hispanic Female,0,0,0,0,0,0,0,0
53406,Asian Male,0,0,0,0,0,0,0,0
53406,Asian Female,0,0,0,0,0,0,0,0
53545,Black Male,0,0,0,0,0,0,0,0
53545,Black Female,0,0,0,0,1,0,0,1
53545,White Male,0,0,0,0,0,0,0,0
53545,White Female,0,0,0,0,0,0,0,0
53545,Hispanic Male,0,0,0,0,0,0,0,0
53545,Hispanic Female,0,0,0,0,0,0,0,0
53545,Asian Male,0,0,0,0,0,0,0,0
53545,Asian Female,0,0,0,0,0,0,0,0
53703,Black Male,0,0,0,0,0,0,0,0
53703,Black Female,0,0,0,0,0,0,0,0
53703,White Male,0,0,0,0,0,0,0,0
53703,White Female,0,0,0,0,0,0,0,0
53703,Hispanic Male,0,0,0,0,0,0,0,0
53703,Hispanic Female,0,0,0,0,0,0,0,0
53703,Asian Male,0,0,0,0,0,0,0,0
53703,Asian Female,0,0,0,0,0,0,0,0
53711,Black Male,0,0,0,1,0,0,0,1
53711,Black Female,0,0,0,0,0,0,0,0
53711,White Male,0,0,0,0,0,0,0,0
53711,White Female,0,0,0,0,0,0,0,0
53711,Hispanic Male,0,0,0,0,0,0,0,0
53711,Hispanic Female,0,0,0,0,0,0,0,0
53711,Asian Male,0,0,0,0,0,0,0,0
53711,Asian Female,0,0,0,0,0,0,0,0
54301,Black Male,0,0,1,0,0,0,0,1
54301,Black Female,0,0,0,0,0,0,0,0
54301,White Male,0,0,0,0,0,0,0,0
54301,White Female,0,0,0,0,0,0,0,0
54301,Hispanic Male,0,0,0,0,0,0,0,0
54301,Hispanic Female,0,0,0,0,0,0,0,0
54301,Asian Male,0,0,0,0,0,0,0,0
54301,Asian Female,0,0,0,0,0,0,0,0
54913,Black Male,0,0,0,0,0,1,0,1
54913,Black Female,0,0,0,0,0,0,0,0
54913,White Male,0,0,0,0,0,0,0,0
54913,White Female,0,0,0,0,0,0,0,0
54913,Hispanic Male,0,0,0,0,0,0,0,0
54913,Hispanic Female,0,0,0,0,0,0,0,0
54913,Asian Male,0,0,0,0,0,0,0,0
54913,Asian Female,0,0,0,0,0,0,0,0
60002,Black Male,0,0,0,0,0,0,0,0
60002,Black Female,0,0,0,0,0,0,0,0
60002,White Male,0,0,0,0,0,0,0,0
60002,White Female,0,0,0,0,0,0,0,0
60002,Hispanic Male,0,0,0,0,0,1,0,1
60002,Hispanic Female,0,0,0,0,0,0,0,0
60002,Asian Male,0,0,0,0,0,0,0,0
60002,Asian Female,0,0,0,0,0,0,0,0
60004,Black Male,0,0,0,0,0,0,0,0
60004,Black Female,0,0,0,0,0,0,0,0
60004,White Male,0,0,0,0,0,1,0,1
60004,White Female,0,0,0,0,0,0,0,0
60004,Hispanic Male,0,1,2,1,0,0,0,4
60004,Hispanic Female,0,0,0,0,0,0,0,0
60004,Asian Male,0,0,0,0,0,0,0,0
60004,Asian Female,0,0,0,0,0,0,0,0
60005,Black Male,1,0,0,0,0,0,0,1
60005,Black Female,0,0,0,0,0,0,0,0
60005,White Male,0,0,1,0,1,0,0,2
60005,White Female,0,0,0,1,0,0,0,1
60005,Hispanic Male,0,0,0,0,0,0,0,0
60005,Hispanic Female,0,0,0,0,0,0,0,0
60005,Asian Male,0,0,0,0,0,0,0,0
60005,Asian Female,0,0,0,0,0,0,0,0
60007,Black Male,1,0,0,0,0,0,0,1
60007,Black Female,0,0,0,0,0,0,0,0
60007,White Male,0,0,1,0,0,0,0,1
60007,White Female,0,0,0,0,0,0,0,0
60007,Hispanic Male,0,0,0,0,0,0,0,0
60007,Hispanic Female,0,0,0,0,0,0,0,0
60007,Asian Male,0,0,0,0,0,0,0,0
60007,Asian Female,0,0,0,0,0,0,0,0
60008,Black Male,0,0,0,0,0,0,0,0
60008,Black Female,0,0,0,0,0,0,0,0
60008,White Male,0,0,0,0,0,0,0,0
60008,White Female,0,0,0,0,0,0,0,0
60008,Hispanic Male,1,0,1,0,0,0,0,2
60008,Hispanic Female,0,0,0,0,0,0,0,0
60008,Asian Male,0,0,0,0,0,0,0,0
60008,Asian Female,0,0,0,0,0,0,0,0
60009,Black Male,0,0,0,0,0,0,1,1
60009,Black Female,0,0,0,0,0,0,0,0
60009,White Male,0,0,0,0,0,0,0,0
60009,White Female,0,0,0,0,0,0,0,0
60009,Hispanic Male,0,0,0,0,0,0,0,0
60009,Hispanic Female,0,0,0,0,0,0,0,0
60009,Asian Male,0,0,0,0,0,0,0,0
60009,Asian Female,0,0,0,0,0,0,0,0
60016,Black Male,0,1,1,0,0,1,2,5
60016,Black Female,0,0,0,0,0,0,0,0
60016,White Male,0,0,1,0,0,0,0,1
60016,White Female,0,0,0,0,0,0,0,0
60016,Hispanic Male,0,0,0,0,0,0,0,0
60016,Hispanic Female,0,0,0,0,0,0,0,0
60016,Asian Male,0,0,0,0,0,0,0,0
60016,Asian Female,0,0,0,0,0,0,0,0
60018,Black Male,0,0,0,1,0,0,0,1
60018,Black Female,0,0,0,0,0,0,0,0
60018,White Male,0,0,0,0,0,0,0,0
60018,White Female,0,0,0,0,0,0,0,0
60018,Hispanic Male,0,0,0,0,0,0,0,0
60018,Hispanic Female,0,0,0,0,0,0,0,0
60018,Asian Male,0,0,0,0,0,0,1,1
60018,Asian Female,0,0,0,0,0,0,0,0
60025,Black Male,0,0,0,0,0,0,0,0
60025,Black Female,0,0,0,0,0,0,0,0
60025,White Male,0,0,1,0,0,0,0,1
60025,White Female,0,0,0,0,0,0,0,0
60025,Hispanic Male,0,0,0,0,0,0,0,0
60025,Hispanic Female,0,0,0,0,0,0,0,0
60025,Asian Male,0,0,0,0,0,0,0,0
60025,Asian Female,0,0,0,0,0,0,0,0
60031,Black Male,0,0,0,0,0,0,0,0
60031,Black Female,0,0,0,0,0,0,0,0
60031,White Male,0,0,0,0,0,0,0,0
60031,White Female,0,0,0,0,0,0,0,0
60031,Hispanic Male,0,0,0,0,0,0,0,0
60031,Hispanic Female,0,0,0,0,0,0,0,0
60031,Asian Male,0,0,1,0,0,0,0,1
60031,Asian Female,0,0,0,0,0,0,0,0
60038,Black Male,0,0,0,1,0,0,0,1
60038,Black Female,0,0,0,0,0,0,0,0
60038,White Male,0,0,0,0,0,0,0,0
60038,White Female,0,0,0,0,0,0,0,0
60038,Hispanic Male,0,0,0,0,0,0,0,0
60038,Hispanic Female,0,0,0,0,0,0,0,0
60038,Asian Male,0,0,0,0,0,0,0,0
